Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,,25006,,,,,12510258.416163223103446073000000000000000000,34.4320462626989183,0,99149.84120211690663749100
2022-07-30T00:00:00+00:00,51,25006,27,28,33,385.4624293996003448,12510258.416163223103446073000000000000000000,0,-2.1778826496358310,99115.40915585420771919100
2022-07-29T00:00:00+00:00,168,24955,36,51,60,1730.7597423568823496,12509872.953733823503101273000000000000000000,40.9241712200000000,0,99117.58703850384355019100
2022-07-28T00:00:00+00:00,102,24787,32,38,45,1135.4058968408076477,12508142.193991466620751673000000000000000000,43.8013099200000000,0,99076.66286728384355019100
2022-07-27T00:00:00+00:00,122,24685,33,42,46,380.4301916928522588,12507006.788094625813103973000000000000000000,15.1883462641054171,0,99032.86155736384355019100
2022-07-26T00:00:00+00:00,56,24563,29,30,39,3544.4374669481595368,12506626.357902932960845173000000000000000000,423.9555130900000000,0,99017.67321109973813309100
2022-07-25T00:00:00+00:00,71,24507,31,40,44,2814.6563104196260062,12503081.920435984801308373000000000000000000,180.9527436979000115,0,98593.71769800973813309100
2022-07-24T00:00:00+00:00,43,24436,21,27,29,2961.0937504272971542,12500267.264125565175302173000000000000000000,0,-0.05000000000000000000,98412.76495431183812159100
2022-07-23T00:00:00+00:00,23,24393,18,18,23,1724.5810273961666376,12497306.170375137878147973000000000000000000,6.5877217800000000,0,98412.81495431183812159100
2022-07-22T00:00:00+00:00,84,24370,26,30,34,146.7668035834478669,12495581.589347741711510373000000000000000000,0,0,98406.22723253183812159100
2022-07-21T00:00:00+00:00,72,24286,28,33,39,246.0552399551816534,12495434.822544158263643473000000000000000000,0,0,98406.22723253183812159100
2022-07-20T00:00:00+00:00,127,24214,40,46,55,460.6085892715339152,12495188.767304203081990073000000000000000000,0,0,98406.22723253183812159100
2022-07-19T00:00:00+00:00,225,24087,45,45,54,487.9013577978257670,12494728.158714931548074873000000000000000000,31.2243217163709038,0,98406.22723253183812159100
2022-07-18T00:00:00+00:00,97,23862,35,36,46,498.3936556921811192,12494240.257357133722307873000000000000000000,0,0,98375.00291081546721779100
2022-07-17T00:00:00+00:00,60,23765,35,35,45,393.2751149033461643,12493741.863701441541188673000000000000000000,0,0,98375.00291081546721779100
2022-07-16T00:00:00+00:00,57,23705,26,30,38,76.8219331376147446,12493348.588586538195024373000000000000000000,12.0138234908017117,0,98375.00291081546721779100
2022-07-15T00:00:00+00:00,61,23648,24,28,32,171.0777574764797156,12493271.766653400580279773000000000000000000,0,0,98362.98908732466550609100
2022-07-14T00:00:00+00:00,97,23587,26,30,36,205.3895324799761822,12493100.688895924100564173000000000000000000,0,0,98362.98908732466550609100
2022-07-13T00:00:00+00:00,196,23490,40,50,56,488.4996972649774609,12492895.299363444124381973000000000000000000,10.4661366863077916,0,98362.98908732466550609100
2022-07-12T00:00:00+00:00,83,23294,22,32,36,425.9512650169399693,12492406.799666179146921073000000000000000000,7.1638402900000000,0,98352.52295063835771449100
2022-07-11T00:00:00+00:00,24,23211,14,15,16,36.8294589485164187,12491980.848401162206951773000000000000000000,0,0,98345.35911034835771449100
2022-07-10T00:00:00+00:00,35,23187,18,20,22,20967.498949445632,12491944.018942213690533073000000000000000000,10380.000000000000,-10380.000000000000,98345.35911034835771449100
2022-07-09T00:00:00+00:00,37,23152,22,26,27,295.2347735756907259,12470976.519992768058533073000000000000000000,0,0,98345.35911034835771449100
2022-07-08T00:00:00+00:00,63,23115,26,25,30,130.4754551292594335,12470681.285219192367807173000000000000000000,0,0,98345.35911034835771449100
2022-07-07T00:00:00+00:00,68,23052,31,32,44,110.0852123578333073,12470550.809764063108373673000000000000000000,0,-6.7799191068571940,98345.35911034835771449100
2022-07-06T00:00:00+00:00,53,22984,24,26,32,68.5479016171738087,12470440.724551705275066373000000000000000000,0,0,98352.13902945521490849100
2022-07-05T00:00:00+00:00,88,22931,23,30,36,103.5968856741016976,12470372.176650088101257673000000000000000000,0,0,98352.13902945521490849100
2022-07-04T00:00:00+00:00,74,22843,29,28,36,1838.6698874875288122,12470268.579764413999560073000000000000000000,0,0,98352.13902945521490849100
2022-07-03T00:00:00+00:00,83,22769,27,28,35,751.0465987761862448,12468429.909876926470747873000000000000000000,0,0,98352.13902945521490849100
2022-07-02T00:00:00+00:00,152,22686,37,46,50,196.2878369870838237,12467678.863278150284503073000000000000000000,0,0,98352.13902945521490849100
2022-07-01T00:00:00+00:00,96,22534,25,29,34,172.9236598108006561,12467482.575441163200679373000000000000000000,0,0,98352.13902945521490849100
2022-06-30T00:00:00+00:00,209,22438,41,48,50,808.4755000729583965,12467309.651781352400023273000000000000000000,0,0,98352.13902945521490849100
2022-06-29T00:00:00+00:00,79,22229,21,29,33,108.7123754782445536,12466501.176281279441626773000000000000000000,0,0,98352.13902945521490849100
2022-06-28T00:00:00+00:00,85,22150,31,38,44,223.7913424708125684,12466392.463905801197073173000000000000000000,0,0,98352.13902945521490849100
2022-06-27T00:00:00+00:00,34,22065,24,27,32,144.1433874309691649,12466168.672563330384504773000000000000000000,0,0,98352.13902945521490849100
2022-06-26T00:00:00+00:00,553,22031,43,49,55,455.9524148445275014,12466024.529175899415339873000000000000000000,0,0,98352.13902945521490849100
2022-06-25T00:00:00+00:00,85,21478,30,36,38,192.5055311296425799,12465568.576761054887838473000000000000000000,0,0,98352.13902945521490849100
2022-06-24T00:00:00+00:00,60,21393,20,22,26,41.4505288807895322,12465376.071229925245258573000000000000000000,0,0,98352.13902945521490849100
2022-06-23T00:00:00+00:00,66,21333,25,32,35,304.2908547085401904,12465334.620701044455726373000000000000000000,0,0,98352.13902945521490849100
