Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,,15036134,,,,,120136508053.634566529302,529941.0740165882027544,-383721.8614734491796579,127178302.633673207866752434000000000000000000
2022-07-30T00:00:00+00:00,62179,15036134,20218,23275,26816,33425960.281459517904,120136508053.634566529302,1656595.0603013630834769,-339212.5408055745316617,127032083.421130068843655934000000000000000000
2022-07-29T00:00:00+00:00,62142,14973955,18687,21586,25150,49201461.752621772682,120103082093.353107011398,1489744.1526862471058751,-123828.2323098192286041,125714700.901634280291840734000000000000000000
2022-07-28T00:00:00+00:00,59659,14911813,17823,20856,24150,50033199.346142797225,120053880631.600485238716,1172152.750235371210530000000000,-149790.537017135810561000000000,124348784.981257852414569734000000000000000000
2022-07-27T00:00:00+00:00,59194,14852154,17322,19949,23406,44537456.863225963518,120003847432.254342441491,620926.754352559557566326000000,-467500.5445525399190992,123326422.768039617014600734000000000000000000
2022-07-26T00:00:00+00:00,55819,14792960,16393,18875,22180,40231461.478378035137,119959309975.391116477973,55444.578833600932538401000000000000000000,-3012292.43953051844660002200000000000000,123172996.558239597376133608000000000000000000
2022-07-25T00:00:00+00:00,52416,14737141,16391,18239,21873,33016595.476065239314,119919078513.912738442836,289947.7425358336032530,-4979.7408745869127784,126129844.418936514890195229000000000000000000
2022-07-24T00:00:00+00:00,48861,14684725,15249,17053,20168,25457615.043895828676,119886061918.436673203522,4508.9694744615624963,-77807.57595778555763960000,125844876.417275268199720629000000000000000000
2022-07-23T00:00:00+00:00,49456,14635864,15625,18114,21308,21905100.550805114805,119860604303.392777374846,90042.4581167244798401,-255505.8240778132873798,125918175.023758592194863929000000000000000000
2022-07-22T00:00:00+00:00,51620,14586408,16703,19123,22708,30370524.673979304389,119838699202.841972260041,1128491.181700536302695301000000000000000000,-107353.60719016645397190000000000000000,126083638.389719681002403629000000000000000000
2022-07-21T00:00:00+00:00,58519,14534788,18384,21324,25076,34043722.683501339554,119808328678.167992955652,1318073.189809040086358500000000,-220363.2365222333003269220000000000,125062500.815209311153680228000000000000000000
2022-07-20T00:00:00+00:00,64994,14476269,20738,22740,27397,32969660.731129689165,119774284955.484491616098,24528.2354844482667438000000000000,-13000.680385267556521410000000000000000000,123964790.861922504367648650000000000000000000
