Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,,35992,,,,,315169291.26728440841822980000,0,0,13095535.64690136403562111700
2022-07-30T00:00:00+00:00,353,35992,241,430,434,1777390.554619878661,315169291.26728440841822980000,260520.000000000000,0,13095535.64690136403562111700
2022-07-29T00:00:00+00:00,281,35639,192,318,326,931575.853612520269,313391900.71266452975722980000,229995.000000000000,0,12835015.64690136403562111700
2022-07-28T00:00:00+00:00,165,35358,61,69,74,5767919.162420239664,312460324.85905200948822980000,641287.700000000000,0,12605020.64690136403562111700
2022-07-27T00:00:00+00:00,210,35193,67,74,82,1321858.666839377633,306692405.69663176982422980000,239998.000000000000,0,11963732.94690136403562111700
2022-07-26T00:00:00+00:00,133,34983,59,58,67,1124729.230159597244,305370547.02979239219122980000,39999.000000000000,-300052.905464072131,11723734.94690136403562111700
2022-07-25T00:00:00+00:00,183,34850,69,72,81,3331092.032319783668,304245817.79963279494722980000,897197.016915000000,0,11983788.85236543616662111700
2022-07-24T00:00:00+00:00,168,34667,58,67,73,2443142.060590116511,300914725.76731301127922980000,345442.649634410000,0,11086591.83545043616662111700
2022-07-23T00:00:00+00:00,200,34499,49,54,58,1255222.503753256645,298471583.70672289476822980000,98639.698807000000,0,10741149.18581602616662111700
2022-07-22T00:00:00+00:00,189,34299,69,74,83,1279252.959574182994,297216361.20296963812322980000,276780.366177760000,0,10642509.48700902616662111700
2022-07-21T00:00:00+00:00,354,34110,96,104,111,2686317.523434606154,295937108.24339545512922980000,121252.961365380000,0,10365729.12083126616662111700
2022-07-20T00:00:00+00:00,107,33756,42,46,50,76578.803434942941,293250790.71996084897522980000,0,0,10244476.15946588616662111700
2022-07-19T00:00:00+00:00,118,33649,45,50,55,1282885.920050121720,293174211.91652590603422980000,200000.000000000000,0,10244476.15946588616662111700
2022-07-18T00:00:00+00:00,154,33531,47,57,61,768330.630363346954,291891325.99647578431422980000,0,0,10044476.15946588616662111700
2022-07-17T00:00:00+00:00,692,33377,31,39,41,77571.873509794390,291122995.36611243736022980000,0,0,10044476.15946588616662111700
2022-07-16T00:00:00+00:00,145,32685,36,35,39,130949.836924869299,291045423.49260264297022980000,0,0,10044476.15946588616662111700
2022-07-15T00:00:00+00:00,139,32540,47,50,55,1316817.355876863905,290914473.65567777367122980000,425000.000000000000,0,10044476.15946588616662111700
2022-07-14T00:00:00+00:00,126,32401,39,47,51,393930.201764622589,289597656.29980090976622980000,50000.000000000000,0,9619476.15946588616662111700
2022-07-13T00:00:00+00:00,144,32275,46,47,51,1522681.808515643501,289203726.09803628717722980000,0,0,9569476.15946588616662111700
2022-07-12T00:00:00+00:00,677,32131,245,245,253,182307.608148001089,287681044.28952064367622980000,0,0,9569476.15946588616662111700
2022-07-11T00:00:00+00:00,105,31454,36,41,47,67894.268583614287,287498736.68137264258722980000,0,0,9569476.15946588616662111700
2022-07-10T00:00:00+00:00,103,31349,37,45,48,167506.761577093573,287430842.41278902830022980000,30267.000000000000,0,9569476.15946588616662111700
2022-07-09T00:00:00+00:00,123,31246,42,43,47,165359.561399605294,287263335.65121193472722980000,14800.147313000000,0,9539209.15946588616662111700
2022-07-08T00:00:00+00:00,155,31123,50,55,59,2341802.611965212096,287097976.08981232943322980000,539998.000000000000,0,9524409.01215288616662111700
2022-07-07T00:00:00+00:00,152,30968,44,51,61,457217.553757751811,284756173.47784711733722980000,100000.500000000000,0,8984411.01215288616662111700
2022-07-06T00:00:00+00:00,154,30816,47,46,53,207757.051888716495,284298955.92408936552622980000,40000.000000000000,0,8884410.51215288616662111700
2022-07-05T00:00:00+00:00,172,30662,48,50,55,710047.726488905328,284091198.87220064903122980000,130298.355660489955,0,8844410.51215288616662111700
2022-07-04T00:00:00+00:00,174,30490,48,48,58,1111848.595649584219,283381151.14571174370322980000,84931.000000000000,0,8714112.15649239621162111700
2022-07-03T00:00:00+00:00,222,30316,51,56,63,634346.936440979874,282269302.55006215948422980000,26642.000000000000,0,8629181.15649239621162111700
2022-07-02T00:00:00+00:00,116,30094,37,43,48,344139.212267584198,281634955.61362117961022980000,0,0,8602539.15649239621162111700
2022-07-01T00:00:00+00:00,113,29978,37,38,45,364404.088677329464,281290816.40135359541222980000,0,0,8602539.15649239621162111700
2022-06-30T00:00:00+00:00,104,29865,37,45,47,1395675.789286682456,280926412.31267626594822980000,0,-603598.742896018893,8602539.15649239621162111700
2022-06-29T00:00:00+00:00,73,29761,27,28,33,328006.361738911226,279530736.52338958349222980000,79981.548104330692,0,9206137.89938841510462111700
2022-06-28T00:00:00+00:00,136,29688,40,43,48,225041.729112215653,279202730.16165067226622980000,0,0,9126156.35128408441262111700
2022-06-27T00:00:00+00:00,120,29552,46,49,56,115213.291523360067,278977688.43253845661322980000,0,0,9126156.35128408441262111700
2022-06-26T00:00:00+00:00,143,29432,45,48,54,1260489.056683407931,278862475.14101509654622980000,401247.723712736131,0,9126156.35128408441262111700
2022-06-25T00:00:00+00:00,159,29289,43,49,53,590273.449656737644,277601986.08433168861522980000,79999.000000000000,0,8724908.62757134828162111700
2022-06-24T00:00:00+00:00,136,29130,45,50,55,148519.143283294841,277011712.63467495097122980000,0,0,8644909.62757134828162111700
2022-06-23T00:00:00+00:00,168,28994,48,58,62,381176.397972958892,276863193.49139165613022980000,0,0,8644909.62757134828162111700
2022-06-22T00:00:00+00:00,131,28826,49,55,61,895443.450162494379,276482017.09341869723822980000,0,-105300.000000000000,8644909.62757134828162111700
2022-06-21T00:00:00+00:00,105,28695,32,30,36,239597.233335786829,275586573.64325620285922980000,0,0,8750209.62757134828162111700
2022-06-20T00:00:00+00:00,125,28590,41,44,48,1023025.215332267058,275346976.40992041603022980000,199951.202457930708,-144225.998539757966,8750209.62757134828162111700
2022-06-19T00:00:00+00:00,113,28465,38,40,46,2572209.067556998787,274323951.19458814897222980000,425662.289375420000,-372200.000000000000,8694484.42365317553962111700
2022-06-18T00:00:00+00:00,171,28352,46,64,68,372786.423761158199,271751742.12703115018522980000,0,-70119.9230549982430000,8641022.13427775553962111700
