Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,,31786448,,,,,152277146099.2377440000000000,67827.6133730000000000,-52388.3612250000000000,649461749.376652000000000000000000
2022-07-30T00:00:00+00:00,50960,31786448,12255,53103,55938,126645541.98118600,152277146099.2377440000000000,103119.4051830000000000,-29454.41318600000000000000,649446310.124504000000000000000000
2022-07-29T00:00:00+00:00,61260,31735488,12571,28427,30810,173090476.97184300,152150500557.2565580000000000,545943.9749250000000000,-31942.6242910000000000,649372645.132507000000000000000000
2022-07-28T00:00:00+00:00,62585,31674228,12892,15568,18175,146866516.24948700,151977410080.2847150000000000,145830.416452000000000000000000,-275960.168021000000000000000000,648858643.781873000000000000000000
2022-07-27T00:00:00+00:00,55082,31611643,11638,13731,16266,118804803.94992200,151830543564.0352280000000000,61323.8386360000000000,-622824.765906000000000000000000,648988773.533442000000000000000000
2022-07-26T00:00:00+00:00,52875,31556561,11528,12393,15024,142807543.66271500,151711738760.0853060000000000,1776783.0896280000000000,-1707510.7423770000000000,649550274.460712000000000000000000
2022-07-25T00:00:00+00:00,50839,31503686,11327,12482,15265,123300318.29869700,151568931216.4225910000000000,115009.48056800000000000000,-115990.0895600000000000,649481002.113461000000000000000000
2022-07-24T00:00:00+00:00,43032,31452847,9872,11548,13621,97254873.002785000000,151445630898.1238940000000000,56076.0116050000000000,-7531.35401600000000000000,649481982.722453000000000000000000
2022-07-23T00:00:00+00:00,45982,31409815,10181,11173,13563,102545072.31290900,151348376025.1211090000000000,1120785.6630540000000000,-3467.5893700000000000,649433438.064864000000000000000000
2022-07-22T00:00:00+00:00,52910,31363833,11678,13713,16247,493116492.67842800,151245830952.8082000000000000,253562.3438970000000000,-4008624.897012000000000000000000,648316119.991180000000000000000000
2022-07-21T00:00:00+00:00,58850,31310923,12332,13561,16803,126469373.21820400,150752714460.1297720000000000,327112.3213980000000000,-29036.95312100000000000000,652071182.544295000000000000000000
2022-07-20T00:00:00+00:00,63416,31252073,13041,14708,17801,204837734.00342500,150626245086.9115680000000000,22695.5269710000000000,-7052.5293820000000000,651773107.176018000000000000000000
2022-07-19T00:00:00+00:00,63271,31188657,12538,15549,17946,156977653.51178100,150421407352.9081430000000000,919845.3939810000000000,-809786.35079800000000000000,651757464.178429000000000000000000
2022-07-18T00:00:00+00:00,73339,31125386,13456,16189,18838,187227403.74660000,150264429699.3963620000000000,366027.0593680000000000,-26672.103270000000000000000000,651647405.135246000000000000000000
2022-07-17T00:00:00+00:00,55693,31052047,12564,13556,16489,124749151.36835200,150077202295.6497620000000000,186890.3436610000000000,-207022.2721780000000000,651308050.179148000000000000000000
2022-07-16T00:00:00+00:00,53361,30996354,11744,13158,15692,108889102.67396700,149952453144.2814100000000000,163246.8520030000000000,-203049.6486970000000000,651328182.107665000000000000000000
2022-07-15T00:00:00+00:00,76352,30942993,15132,17142,19799,219424360.85450700,149843564041.6074430000000000,70409.979086000000000000000000,-479632.4861560000000000,651367984.904359000000000000000000
2022-07-14T00:00:00+00:00,99590,30866641,14668,16887,19043,200459078.39771800,149624139680.7529360000000000,180512.4666240000000000,-330319.102219000000000000000000,651777207.411429000000000000000000
2022-07-13T00:00:00+00:00,80881,30767051,16852,17863,20531,157522310.57067300,149423680602.3552180000000000,78584.6960430000000000,-91684.0490270000000000,651927014.047024000000000000000000
2022-07-12T00:00:00+00:00,70091,30686170,17083,17050,20861,138933483.64141700,149266158291.7845450000000000,3454.343819000000000000000000,-46374.7652340000000000,651940113.400008000000000000000000
2022-07-11T00:00:00+00:00,62915,30616079,12762,14409,16566,119237080.60962700,149127224808.1431280000000000,71474.09829700000000000000,-87353.37814500000000000000,651983033.821423000000000000000000
2022-07-10T00:00:00+00:00,52034,30553164,12379,13594,16018,88190760.195489000000,149007987727.5335010000000000,192784.4948610000000000,-35428.8455730000000000,651998913.101271000000000000000000
2022-07-09T00:00:00+00:00,51366,30501130,11949,12703,15384,147166769.35349600,148919796967.3380120000000000,313932.8231520000000000,-7379.37416500000000000000,651841557.451983000000000000000000
2022-07-08T00:00:00+00:00,64591,30449764,13014,15043,17642,141427780.04306900,148772630197.9845160000000000,87026.1017510000000000,-553478.212256000000000000000000,651535004.002996000000000000000000
2022-07-07T00:00:00+00:00,58867,30385173,14156,15861,18580,105236144.16272700,148631202417.9414470000000000,24469.5275900000000000,-348506.726099000000000000000000,652001456.113501000000000000000000
2022-07-06T00:00:00+00:00,64194,30326306,15027,16469,19621,121033357.50304400,148525966273.7787200000000000,4777042.54709600000000000000,-82953.368734000000000000000000,652325493.312010000000000000000000
2022-07-05T00:00:00+00:00,61706,30262112,13495,15651,18006,103749929.61310500,148404932916.2756760000000000,16285.9774500000000000,-2218800.85231900000000000000,647631404.133648000000000000000000
2022-07-04T00:00:00+00:00,47672,30200406,12027,13257,15714,76745103.931391000000,148301182986.6625710000000000,16102.7020920000000000,-123644.83049400000000000000,649833919.008517000000000000000000
2022-07-03T00:00:00+00:00,43794,30152734,9845,10538,12854,89975167.976766000000,148224437882.7311800000000000,11104.3435220000000000,-43124.29612700000000000000,649941461.136919000000000000000000
