Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,,270332,,,,,1017988967.393366193619298800000000000000000000,0,0,12857628.453396243772744582000000000000000000
2022-07-30T00:00:00+00:00,163,270332,45,62,66,428824.449759873701,1017988967.393366193619298800000000000000000000,0,0,12857628.453396243772744582000000000000000000
2022-07-29T00:00:00+00:00,150,270169,44,53,56,735914.798153650998,1017560142.943606319918298800000000000000000000,0,0,12857628.453396243772744582000000000000000000
2022-07-28T00:00:00+00:00,120,270019,34,40,46,386547.477006758700,1016824228.145452668920298800000000000000000000,0,0,12857628.453396243772744582000000000000000000
2022-07-27T00:00:00+00:00,329,269899,52,58,62,1517867.246895199926,1016437680.668445910220298800000000000000000000,0,0,12857628.453396243772744582000000000000000000
2022-07-26T00:00:00+00:00,170,269570,49,46,56,1011981.912364017731,1014919813.421550710294298800000000000000000000,1507.5000000000000000,0,12857628.453396243772744582000000000000000000
2022-07-25T00:00:00+00:00,125,269400,45,49,57,563106.160582653889,1013907831.509186692563298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-24T00:00:00+00:00,126,269275,36,43,51,342482.309092739071,1013344725.348604038674298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-23T00:00:00+00:00,197,269149,51,55,62,1365392.570921448289,1013002243.039511299603298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-22T00:00:00+00:00,54,268952,32,41,47,3458468.417332018730,1011636850.468589851314298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-21T00:00:00+00:00,133,268898,33,44,51,697240.088406408753,1008178382.051257832584298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-20T00:00:00+00:00,166,268765,40,40,46,643664.817761020819,1007481141.962851423831298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-19T00:00:00+00:00,101,268599,45,47,60,328539.045248274684,1006837477.145090403012298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-18T00:00:00+00:00,230,268498,50,56,61,896310.745567808060,1006508938.099842128328298800000000000000000000,0,0,12856120.953396243772744582000000000000000000
2022-07-17T00:00:00+00:00,172,268268,49,48,58,867945.499377881253,1005612627.354274320268298800000000000000000000,0,-62000.000000879527,12856120.953396243772744582000000000000000000
2022-07-16T00:00:00+00:00,548,268096,54,59,67,1622691.278131589615,1004744681.854896439015298800000000000000000000,0,0,12918120.953397123299744582000000000000000000
2022-07-15T00:00:00+00:00,912,267548,58,56,69,3377432.722371719789,1003121990.576764849400298800000000000000000000,0,0,12918120.953397123299744582000000000000000000
2022-07-14T00:00:00+00:00,203,266636,41,52,58,953411.198975776638,999744557.854393129611298800000000000000000000,0,0,12918120.953397123299744582000000000000000000
2022-07-13T00:00:00+00:00,212,266433,37,42,45,962991.344948814660,998791146.655417352973298800000000000000000000,0,0,12918120.953397123299744582000000000000000000
2022-07-12T00:00:00+00:00,163,266221,46,65,68,791281.523173493842,997828155.310468538313298800000000000000000000,0,0,12918120.953397123299744582000000000000000000
2022-07-11T00:00:00+00:00,136,266058,38,39,48,230426.617088196742,997036873.787295044471298800000000000000000000,0,-25541.171591059845,12918120.953397123299744582000000000000000000
2022-07-10T00:00:00+00:00,417,265922,58,58,68,977993.912838275213,996806447.170206847729298800000000000000000000,0,0,12943662.124988183144744582000000000000000000
2022-07-09T00:00:00+00:00,211,265505,45,54,61,463919.690599001927,995828453.257368572516298800000000000000000000,0,0,12943662.124988183144744582000000000000000000
2022-07-08T00:00:00+00:00,227,265294,49,52,62,581576.735415451657,995364533.566769570589298800000000000000000000,0,0,12943662.124988183144744582000000000000000000
2022-07-07T00:00:00+00:00,547,265067,61,71,79,1577786.148734315002,994782956.831354118932298800000000000000000000,0,0,12943662.124988183144744582000000000000000000
2022-07-06T00:00:00+00:00,611,264520,61,69,80,1257891.592218639872,993205170.682619803930298800000000000000000000,0,0,12943662.124988183144744582000000000000000000
2022-07-05T00:00:00+00:00,770,263909,87,94,110,4236911.783821777947,991947279.090401164058298800000000000000000000,0,-75487.9903379491850000,12943662.124988183144744582000000000000000000
2022-07-04T00:00:00+00:00,775,263139,92,93,113,1263106.346513557466,987710367.306579386111298800000000000000000000,0,0,13019150.115326132329744582000000000000000000
